Zeit;Kanal A
(ms);(mV)

-25,00749905;-1,67568900
-25,00249905;-1,67568900
-24,99749905;-2,60642200
-24,99249905;-1,67568900
-24,98749905;-1,67568900
-24,98249905;-2,04785900
-24,97749905;-1,67568900
-24,97249905;-1,11712600
-24,96749905;-1,67568900
-24,96249905;-2,42002900
-24,95749905;-1,67568900
-24,95249905;-1,67568900
-24,94749905;-2,04785900
-24,94249905;-2,04785900
-24,93749905;-1,30290300
-24,93249905;-1,67568900
-24,92749905;-1,67568900
-24,92249905;-2,04785900
-24,91749905;-1,11712600
-24,91249905;-1,11712600
-24,90749905;-1,11712600
-24,90249905;-0,74434050
-24,89749905;-1,67568900
-24,89249905;-1,30290300
-24,88749905;-0,93073320
-24,88249905;-1,67568900
-24,87749905;-1,11712600
-24,87249906;-0,74434050
-24,86749906;-1,30290300
-24,86249906;-1,30290300
-24,85749906;-0,74434050
-24,85249906;-0,74434050
-24,84749906;-1,30290300
-24,84249906;-1,48929600
-24,83749906;-1,30290300
-24,83249906;-0,74434050
-24,82749906;-1,67568900
-24,82249906;-1,30290300
-24,81749906;-1,48929600
-24,81249906;-1,30290300
-24,80749906;-1,48929600
-24,80249906;-0,74434050
-24,79749906;-1,48929600
-24,79249906;-1,48929600
-24,78749906;-1,67568900
-24,78249906;-1,11712600
-24,77749906;-1,86146600
-24,77249906;-1,86146600
-24,76749906;-1,30290300
-24,76249906;-2,23425200
-24,75749906;-1,67568900
-24,75249906;-1,67568900
-24,74749906;-1,67568900
-24,74249906;-2,97859200
-24,73749906;-2,42002900
-24,73249906;-2,60642200
-24,72749906;-2,60642200
-24,72249906;-2,23425200
-24,71749906;-3,16498500
-24,71249906;-3,53715500
-24,70749906;-2,60642200
-24,70249906;-2,60642200
-24,69749906;-2,97859200
-24,69249906;-2,60642200
-24,68749906;-2,23425200
-24,68249906;-2,23425200
-24,67749906;-2,97859200
-24,67249906;-3,16498500
-24,66749906;-2,42002900
-24,66249906;-2,04785900
-24,65749906;-2,23425200
-24,65249906;-2,04785900
